epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8675,1.86442,3.46264,1.90695,0.00585,0.77273,0.07306,0.03167,1.68828,3.954,1.84554,0.00011669,0.00011669,0.00011669
2,23.5756,1.67528,3.33467,1.76215,0.00506,0.64773,0.08817,0.04282,1.74787,3.81465,1.7706,0.000233547,0.000233547,0.000233547
3,34.6389,1.742,3.24683,1.77412,0.00667,0.84659,0.1134,0.03792,1.80096,3.76605,1.66169,0.0003328,0.0003328,0.0003328
4,46.2735,1.58861,3.14095,1.62383,0.00627,0.80114,0.07035,0.02065,1.94414,3.77437,1.77982,0.00041445,0.00041445,0.00041445
5,57.2745,1.73893,3.02065,1.69494,0.00511,0.63068,0.10576,0.02147,2.16178,3.805,1.86115,0.000478496,0.000478496,0.000478496
6,68.3878,1.69439,3.07671,1.63959,0.00503,0.64773,0.12813,0.04061,2.21546,3.79772,1.84819,0.000524938,0.000524938,0.000524938
7,79.5711,1.61462,3.02203,1.70031,0.00586,0.73864,0.20551,0.07317,2.13589,3.65411,1.84583,0.000553777,0.000553777,0.000553777
8,90.7989,1.65818,2.9313,1.6504,0.00583,0.73864,0.23344,0.08771,1.89323,3.57947,1.78987,0.000565013,0.000565013,0.000565013
9,101.511,1.59757,2.89162,1.59724,0.71215,0.07026,0.17964,0.05434,1.86115,3.52981,1.80565,0.000558645,0.000558645,0.000558645
10,112.222,1.63722,2.85852,1.64334,0.71215,0.07026,0.17964,0.05434,1.86115,3.52981,1.80565,0.000534674,0.000534674,0.000534674
11,123.046,1.47664,2.75156,1.62943,0.69381,0.13636,0.1479,0.06326,1.70888,3.48539,1.66722,0.000493099,0.000493099,0.000493099
12,133.892,1.57359,2.78616,1.68001,0.69381,0.13636,0.1479,0.06326,1.70888,3.48539,1.66722,0.00043392,0.00043392,0.00043392
13,144.983,1.58891,2.71922,1.62979,0.76876,0.18182,0.18805,0.062,1.76211,3.43578,1.67839,0.000346736,0.000346736,0.000346736
14,155.696,1.43114,2.77293,1.55387,0.76876,0.18182,0.18805,0.062,1.76211,3.43578,1.67839,0.000236714,0.000236714,0.000236714
15,166.515,1.56863,2.72475,1.64461,0.80035,0.18182,0.21851,0.06333,1.8349,3.30965,1.7033,0.000126692,0.000126692,0.000126692
