epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93287,1.53545,3.09852,1.35091,0.03133,0.83929,0.30622,0.24378,0.6039,2.76776,0.86176,8e-05,8e-05,8e-05
2,11.5021,1.25897,2.92901,1.22065,0.032,0.85714,0.40393,0.31379,0.75769,2.78512,0.87477,0.00016812,0.00016812,0.00016812
3,16.8858,1.29124,2.71794,1.18875,0.03267,0.875,0.38004,0.27033,0.81249,2.80396,0.89019,0.00024304,0.00024304,0.00024304
4,21.9418,1.3774,2.6956,1.18239,0.03467,0.92857,0.41526,0.276,0.83454,2.78021,0.91532,0.00030476,0.00030476,0.00030476
5,27.338,1.28201,2.58225,1.12956,0.03533,0.94643,0.46974,0.32144,0.80004,2.73603,0.9104,0.00035328,0.00035328,0.00035328
6,32.3687,1.21557,2.33608,1.13148,0.03533,0.94643,0.55396,0.36356,0.77194,2.69528,0.90047,0.0003886,0.0003886,0.0003886
7,37.3618,1.36446,2.28385,1.12135,0.03467,0.92857,0.56897,0.35595,0.85497,2.68493,0.93498,0.00041072,0.00041072,0.00041072
8,42.4589,1.18823,2.12488,1.1336,0.03467,0.92857,0.56897,0.35595,0.85497,2.68493,0.93498,0.00041964,0.00041964,0.00041964
9,47.489,1.18441,2.0892,1.09665,0.034,0.91071,0.56726,0.35076,0.86188,2.64119,0.95649,0.00041536,0.00041536,0.00041536
10,53.1668,1.21624,1.91974,1.12095,0.034,0.91071,0.57602,0.36855,0.84407,2.57023,0.958,0.00039788,0.00039788,0.00039788
11,58.3252,1.17358,1.8992,1.09665,0.034,0.91071,0.57602,0.36855,0.84407,2.57023,0.958,0.0003672,0.0003672,0.0003672
12,63.5093,1.08871,1.84668,1.07118,0.0741,0.83929,0.5802,0.39773,0.85619,2.43181,0.96184,0.00032332,0.00032332,0.00032332
13,68.4829,1.11179,1.75756,1.10076,0.0741,0.83929,0.5802,0.39773,0.85619,2.43181,0.96184,0.00026624,0.00026624,0.00026624
14,73.8763,1.12558,1.86552,1.06458,0.0741,0.83929,0.5802,0.39773,0.85619,2.43181,0.96184,0.00019596,0.00019596,0.00019596
15,79.0793,1.08132,1.75472,1.02962,0.94097,0.32143,0.65783,0.47251,0.85856,2.27777,0.96282,0.00011248,0.00011248,0.00011248
