epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.8179,1.92733,3.51141,2.00672,0.0055,0.7,0.06778,0.02961,1.78656,3.95159,1.81385,8.335e-05,8.335e-05,8.335e-05
2,13.0319,1.8101,3.41706,1.8864,0.00611,0.75,0.0776,0.03627,1.75517,3.91869,1.79691,0.000171268,0.000171268,0.000171268
3,19.3198,1.6991,3.28641,1.73092,0.00616,0.71667,0.12977,0.06496,1.70688,3.77734,1.64684,0.000245983,0.000245983,0.000245983
4,25.8385,1.6756,3.19074,1.69123,0.00725,0.85,0.13079,0.03151,1.96988,3.77612,1.73089,0.000307495,0.000307495,0.000307495
5,32.2784,1.65052,2.99724,1.58348,0.00674,0.76667,0.10032,0.03773,1.97601,3.78968,1.76374,0.000355804,0.000355804,0.000355804
6,38.6051,1.89157,3.31343,1.74206,0.00632,0.68333,0.12084,0.02871,2.05828,3.79384,1.82549,0.000390912,0.000390912,0.000390912
7,44.7997,1.786,3.15444,1.63986,0.00691,0.76667,0.13382,0.0392,1.89495,3.68895,1.7311,0.000412816,0.000412816,0.000412816
8,50.9625,1.71561,2.99969,1.61389,0.00691,0.76667,0.13382,0.0392,1.89495,3.68895,1.7311,0.000421518,0.000421518,0.000421518
9,57.3054,1.5329,3.0032,1.59014,0.00635,0.71667,0.12866,0.0544,1.78522,3.5928,1.72466,0.000417017,0.000417017,0.000417017
10,63.5774,1.70199,2.90763,1.64627,0.00703,0.76667,0.1733,0.06882,1.69434,3.54557,1.63886,0.000399313,0.000399313,0.000399313
11,69.9436,1.60799,2.79674,1.54368,0.00703,0.76667,0.1733,0.06882,1.69434,3.54557,1.63886,0.000368407,0.000368407,0.000368407
12,76.3029,1.49467,2.86193,1.54536,0.60838,0.2,0.13723,0.07076,1.65788,3.43711,1.67586,0.000324298,0.000324298,0.000324298
13,82.7084,1.58393,2.68171,1.57692,0.60838,0.2,0.13723,0.07076,1.65788,3.43711,1.67586,0.000266987,0.000266987,0.000266987
14,89.1217,1.49855,2.64821,1.54969,0.60838,0.2,0.13723,0.07076,1.65788,3.43711,1.67586,0.000196473,0.000196473,0.000196473
15,95.5488,1.39576,2.72958,1.46362,0.71285,0.1,0.13995,0.07563,1.67257,3.25006,1.67598,0.000112756,0.000112756,0.000112756
