epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.99566,1.66415,3.5467,1.93316,0.00881,1,0.03373,0.00569,2.89141,4.15437,3.19559,2.858e-05,2.858e-05,2.858e-05
2,3.91055,1.88497,3.55847,2.15298,0.0099,1,0.04738,0.00928,2.74907,4.15535,3.11424,6.67343e-05,6.67343e-05,6.67343e-05
3,5.81297,2.23812,4.63373,2.49017,0.00948,1,0.04738,0.01315,2.53291,4.13069,2.96765,9.92298e-05,9.92298e-05,9.92298e-05
4,7.8571,1.63859,3.52153,1.88862,0.00995,1,0.04854,0.01327,2.37019,4.22089,3.01232,0.000126066,0.000126066,0.000126066
5,9.7039,1.26915,3.3978,1.58466,0.01026,1,0.03658,0.01541,2.26929,4.04826,3.02293,0.000147244,0.000147244,0.000147244
6,11.5084,1.60747,4.20234,2.15503,0.01031,1,0.06993,0.015,2.44997,3.88124,2.85613,0.000162763,0.000162763,0.000162763
7,13.3248,1.81182,4.45868,2.17627,0.0101,1,0.52132,0.26209,2.26103,3.92106,2.62291,0.000172623,0.000172623,0.000172623
8,15.3317,1.52478,4.24953,1.78158,0.01,1,0.545,0.2725,2.21159,3.8746,2.45673,0.000176824,0.000176824,0.000176824
9,17.4217,1.55264,4.2031,1.98406,0.01,1,0.545,0.2725,2.21159,3.8746,2.45673,0.000175367,0.000175367,0.000175367
10,19.483,1.23076,4.17051,1.6239,0.0107,1,0.53346,0.31637,1.86747,4.23007,2.24921,0.00016825,0.00016825,0.00016825
11,21.3539,1.61222,4.05174,2.1232,0.0107,1,0.53346,0.31637,1.86747,4.23007,2.24921,0.000155475,0.000155475,0.000155475
12,23.3595,1.82372,4.41613,2.07308,0.01227,1,0.52625,0.22013,2.05267,4.03908,2.33869,0.000137041,0.000137041,0.000137041
13,25.2002,1.34555,3.83703,1.73727,0.01227,1,0.52625,0.22013,2.05267,4.03908,2.33869,0.000112948,0.000112948,0.000112948
14,27.0746,1.52423,4.11435,1.86824,0.0117,1,0.55382,0.2158,2.2758,3.98363,2.43475,8.31964e-05,8.31964e-05,8.31964e-05
15,28.8969,1.33267,4.00996,1.64848,0.0117,1,0.55382,0.2158,2.2758,3.98363,2.43475,4.77858e-05,4.77858e-05,4.77858e-05
