epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.84447,1.33207,3.70032,1.4876,0.01554,0.36667,0.13693,0.03077,1.22406,3.85774,1.43951,8.75e-05,8.75e-05,8.75e-05
2,11.9174,1.25344,3.67525,1.33206,0.02364,0.46667,0.24917,0.10841,1.06048,3.67238,1.23903,0.000175125,0.000175125,0.000175125
3,17.7017,0.96843,3.45258,1.17146,0.02519,0.55,0.3108,0.18373,0.89353,3.4876,1.05516,0.00024955,0.00024955,0.00024955
4,23.0465,1.03961,3.25707,1.19628,0.02887,0.7,0.30743,0.18454,0.88411,3.43943,1.00629,0.000310775,0.000310775,0.000310775
5,28.5364,0.93438,3.08443,1.07543,0.03129,0.75,0.3934,0.25667,0.82474,3.36656,0.96485,0.0003588,0.0003588,0.0003588
6,33.9618,0.91412,2.89148,1.08212,0.03465,0.8,0.56781,0.40132,0.81733,3.31535,0.96749,0.000393625,0.000393625,0.000393625
7,39.3691,0.88654,2.73506,1.04682,0.03578,0.78333,0.63739,0.44744,0.8553,3.29815,0.98561,0.00041525,0.00041525,0.00041525
8,44.7616,0.88224,2.54221,1.06209,0.03467,0.73333,0.6492,0.41841,0.94628,3.26038,1.04427,0.000423675,0.000423675,0.000423675
9,50.1132,0.9499,2.45435,1.06399,0.03817,0.76667,0.69533,0.46094,0.96899,3.09501,1.06877,0.0004189,0.0004189,0.0004189
10,55.8546,0.95091,2.24377,1.06297,0.03817,0.76667,0.69533,0.46094,0.96899,3.09501,1.06877,0.000400925,0.000400925,0.000400925
11,61.4954,0.81091,2.14855,1.01486,1,0.34565,0.80176,0.5414,0.96119,2.76314,1.04665,0.00036975,0.00036975,0.00036975
12,67.2065,0.91372,2.01936,1.05524,1,0.34565,0.80176,0.5414,0.96119,2.76314,1.04665,0.000325375,0.000325375,0.000325375
13,72.9157,0.97628,1.93198,1.09661,1,0.58762,0.86124,0.60345,0.96259,2.37802,1.06127,0.00026,0.00026,0.00026
14,78.6988,0.91586,1.82111,1.05552,1,0.58762,0.86124,0.60345,0.96259,2.37802,1.06127,0.0001775,0.0001775,0.0001775
15,84.4199,0.88902,1.90849,1.06929,0.97969,0.75893,0.88652,0.62765,0.99422,2.14142,1.09108,9.5e-05,9.5e-05,9.5e-05
