epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78974,1.76333,3.87727,2.14237,0.00922,1,0.0297,0.00891,2.85913,4.01985,3.24079,2.858e-05,2.858e-05,2.858e-05
2,5.8252,2.05418,3.70695,2.50606,0.00901,1,0.05237,0.01713,2.82642,3.95048,3.10439,6.67343e-05,6.67343e-05,6.67343e-05
3,8.51582,1.80163,3.87784,2.05353,0.0083,1,0.06869,0.02363,2.50219,4.10573,2.86891,9.92298e-05,9.92298e-05,9.92298e-05
4,11.107,2.09597,3.48577,2.31089,0.00806,1,0.05103,0.01483,2.36562,3.95996,2.68519,0.000126066,0.000126066,0.000126066
5,13.6637,1.8272,3.38252,1.90457,0.00797,1,0.06633,0.02439,2.15884,4.00776,2.51332,0.000147244,0.000147244,0.000147244
6,16.4081,1.58254,4.3304,2.04473,0.00806,1,0.05975,0.01715,1.94019,4.0057,2.24851,0.000162763,0.000162763,0.000162763
7,19.3447,1.72882,4.10469,2.30691,0.00844,1,0.04981,0.01556,1.97358,3.96474,2.29428,0.000172623,0.000172623,0.000172623
8,22.2511,2.31822,6.45061,2.14346,0.00952,1,0.05917,0.01663,2.00054,4.16964,2.35489,0.000176824,0.000176824,0.000176824
9,24.981,1.85335,4.24155,2.08013,0.00952,1,0.05917,0.01663,2.00054,4.16964,2.35489,0.000175367,0.000175367,0.000175367
10,27.9335,2.20019,4.94294,1.95411,0.00971,1,0.16583,0.04141,2.2065,4.35317,2.42738,0.00016825,0.00016825,0.00016825
11,30.635,1.91921,3.82003,1.94454,0.00971,1,0.16583,0.04141,2.2065,4.35317,2.42738,0.000155475,0.000155475,0.000155475
12,33.4653,2.14511,4.02663,2.2833,0.00985,1,0.14214,0.03815,2.39148,4.36725,2.57016,0.000137041,0.000137041,0.000137041
13,36.3856,1.58726,4.45496,1.65718,0.00985,1,0.14214,0.03815,2.39148,4.36725,2.57016,0.000112948,0.000112948,0.000112948
14,39.07,1.59467,3.85062,1.87385,0.01026,1,0.16583,0.0343,2.08784,4.9342,2.68414,8.31964e-05,8.31964e-05,8.31964e-05
15,41.7643,1.34399,3.67033,1.62156,0.01026,1,0.16583,0.0343,2.08784,4.9342,2.68414,4.77858e-05,4.77858e-05,4.77858e-05
