epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06578,1.50034,3.07317,1.35293,0.04,0.46154,0.16217,0.12357,1.05843,3.07061,0.96094,0.0001,0.0001,0.0001
2,8.16068,1.4257,2.97967,1.18563,0.04667,0.53846,0.20161,0.1366,1.16392,3.05415,0.98755,0.00020548,0.00020548,0.00020548
3,12.2693,1.33278,2.84405,1.14991,0.05867,0.67692,0.27206,0.16315,1.21528,3.04805,1.00258,0.00029512,0.00029512,0.00029512
4,16.4002,1.31077,2.52852,1.16251,0.06533,0.75385,0.30427,0.18955,1.28563,3.01633,1.02471,0.00036892,0.00036892,0.00036892
5,20.4779,1.35374,2.40758,1.20104,0.06133,0.70769,0.30253,0.17764,1.39128,3.0068,1.06733,0.00042688,0.00042688,0.00042688
6,24.5757,1.61081,2.48731,1.38652,0.05933,0.68462,0.28297,0.15906,1.35502,3.01603,1.0737,0.000469,0.000469,0.000469
7,28.6585,1.40929,2.11122,1.1322,0.06133,0.70769,0.26707,0.13288,1.31683,2.99222,1.0688,0.00049528,0.00049528,0.00049528
8,32.6599,1.40464,2.00139,1.14308,0.06133,0.70769,0.26707,0.13288,1.31683,2.99222,1.0688,0.00050572,0.00050572,0.00050572
9,36.7367,1.31707,1.86997,1.11852,0.06333,0.73077,0.27616,0.14412,1.2922,2.90822,1.04358,0.00050032,0.00050032,0.00050032
10,40.8964,1.23071,1.78542,1.09225,0.06867,0.79231,0.3045,0.16424,1.32289,2.73517,1.02104,0.00047908,0.00047908,0.00047908
11,45.0921,1.23307,1.71191,1.07531,0.06867,0.79231,0.3045,0.16424,1.32289,2.73517,1.02104,0.000442,0.000442,0.000442
12,49.3174,1.30998,1.77059,1.15458,0.90241,0.17692,0.38439,0.23284,1.29672,2.54354,1.03191,0.00038908,0.00038908,0.00038908
13,53.3702,1.10406,1.60547,1.02246,0.90241,0.17692,0.38439,0.23284,1.29672,2.54354,1.03191,0.00032032,0.00032032,0.00032032
14,57.5854,1.28958,1.66365,1.09998,0.90241,0.17692,0.38439,0.23284,1.29672,2.54354,1.03191,0.00023572,0.00023572,0.00023572
15,61.8775,1.12706,1.60136,1.05587,0.87773,0.22093,0.51456,0.3143,1.30234,2.32644,1.04261,0.00013528,0.00013528,0.00013528
