epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.47808,1.45308,3.82133,1.47951,0.01454,0.375,0.11157,0.02535,1.35354,3.88254,1.52093,0.0001,0.0001,0.0001
2,18.0195,1.23147,3.59452,1.30577,0.02363,0.51562,0.17825,0.06614,1.08261,3.74496,1.29289,0.000198475,0.000198475,0.000198475
3,26.6866,1.06592,3.40355,1.20086,0.02558,0.64062,0.31392,0.17432,0.88469,3.68273,1.14408,0.0002821,0.0002821,0.0002821
4,35.3456,1.05654,3.24377,1.20958,0.03201,0.78125,0.47228,0.30903,0.99876,3.45604,1.12536,0.000350875,0.000350875,0.000350875
5,43.9313,0.95264,2.97758,1.10427,0.03336,0.8125,0.59807,0.39417,0.90032,3.36334,1.03374,0.0004048,0.0004048,0.0004048
6,52.6981,1.01739,2.74081,1.1419,0.03541,0.82812,0.66175,0.45795,0.86519,3.2879,1.0157,0.000443875,0.000443875,0.000443875
7,61.1169,0.88916,2.52602,1.04095,0.03803,0.84375,0.699,0.47513,0.89622,3.20047,1.02152,0.0004681,0.0004681,0.0004681
8,69.5545,0.90648,2.46705,1.06434,1,0.07709,0.74423,0.49386,0.93881,3.0796,1.0937,0.000477475,0.000477475,0.000477475
9,77.9576,0.97602,2.20659,1.05121,1,0.07709,0.74423,0.49386,0.93881,3.0796,1.0937,0.000472,0.000472,0.000472
10,86.5009,0.97007,2.03929,1.07355,1,0.38374,0.84584,0.56551,0.97158,2.83901,1.10468,0.000451675,0.000451675,0.000451675
11,95.0804,0.84156,1.93053,1.04778,1,0.38374,0.84584,0.56551,0.97158,2.83901,1.10468,0.0004165,0.0004165,0.0004165
12,103.983,0.97811,1.95113,1.12715,1,0.65918,0.8831,0.60641,0.99902,2.50504,1.15413,0.0003425,0.0003425,0.0003425
13,112.319,0.9806,1.92892,1.10795,1,0.65918,0.8831,0.60641,0.99902,2.50504,1.15413,0.00026,0.00026,0.00026
14,120.799,0.95033,1.98234,1.08642,0.93922,0.80162,0.8986,0.61349,1.11861,2.25418,1.21333,0.0001775,0.0001775,0.0001775
15,129.287,0.93385,1.80143,1.11033,0.91882,0.82812,0.89959,0.6264,1.08712,2.12736,1.19837,9.5e-05,9.5e-05,9.5e-05
