epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.31408,2.07801,4.60187,2.39901,0.00249,0.2,0.00565,0.00113,2.89478,4.39617,2.57528,3.334e-05,3.334e-05,3.334e-05
2,17.3049,1.9238,4.79965,2.02581,0.00535,0.4,0.00481,0.00156,2.8094,4.57381,2.46832,7.78489e-05,7.78489e-05,7.78489e-05
3,25.5667,1.71056,4.14148,1.78007,0.00551,0.4,0.00557,0.00168,2.77129,4.50736,2.51647,0.000115756,0.000115756,0.000115756
4,33.0204,1.56368,5.63817,2.08257,0.00552,0.4,0.01211,0.00267,2.78658,4.43137,2.52577,0.000147063,0.000147063,0.000147063
5,39.4625,1.03426,13.7633,1.21526,0.00554,0.4,0.01909,0.00365,2.74584,4.41627,2.49175,0.000171768,0.000171768,0.000171768
6,46.2041,1.75664,6.30942,1.98567,0.00556,0.4,0.0191,0.00365,2.67466,4.31003,2.44077,0.000189871,0.000189871,0.000189871
7,52.3208,1.68037,5.62886,1.8525,0.00548,0.4,0.02447,0.007,2.44289,4.4777,2.3033,0.000201374,0.000201374,0.000201374
8,60.0327,0.99723,13.9145,1.32887,0.00796,0.6,0.0374,0.00759,2.29933,4.48179,2.19805,0.000206275,0.000206275,0.000206275
9,66.2734,1.59359,6.508,1.70288,0.00796,0.6,0.0374,0.00759,2.29933,4.48179,2.19805,0.000204574,0.000204574,0.000204574
10,71.9452,1.02348,13.6523,1.17847,0.00773,0.6,0.04548,0.0059,2.2327,4.30874,2.16868,0.000196273,0.000196273,0.000196273
11,76.7791,1.06894,13.6921,1.25492,0.00773,0.6,0.04548,0.0059,2.2327,4.30874,2.16868,0.00018137,0.00018137,0.00018137
12,84.4771,1.70655,5.73955,1.89796,0.00789,0.6,0.07282,0.0102,2.06443,4.36506,2.0535,0.000159865,0.000159865,0.000159865
13,91.5781,1.38264,6.12101,1.40324,0.00789,0.6,0.07282,0.0102,2.06443,4.36506,2.0535,0.00013176,0.00013176,0.00013176
14,94.6348,1.76145,6.8465,1.57917,0.00775,0.6,0.06821,0.02084,2.08388,4.25462,2.011,9.70527e-05,9.70527e-05,9.70527e-05
15,97.5353,1.5909,6.17336,1.65502,0.00775,0.6,0.06821,0.02084,2.08388,4.25462,2.011,5.57445e-05,5.57445e-05,5.57445e-05
