epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.7969,2.03904,3.58245,2.03226,0.00472,0.61039,0.07055,0.03044,1.82188,3.96202,1.80374,0.00010002,0.00010002,0.00010002
2,14.9382,1.79058,3.37907,1.88053,0.00525,0.65584,0.07598,0.04293,1.77717,3.81858,1.65533,0.000202407,0.000202407,0.000202407
3,22.1103,1.56738,3.23826,1.67149,0.00634,0.74675,0.09358,0.05622,1.72125,3.74538,1.60381,0.000289391,0.000289391,0.000289391
4,29.1861,1.53242,3.12119,1.58607,0.00739,0.83766,0.10131,0.06464,1.68488,3.69259,1.58288,0.000360972,0.000360972,0.000360972
5,36.1764,1.65838,3.1939,1.63068,0.00728,0.83766,0.14202,0.0694,1.78036,3.62889,1.62673,0.00041715,0.00041715,0.00041715
6,43.0679,1.77346,3.17422,1.73604,0.0072,0.83766,0.12969,0.06995,1.85957,3.65606,1.66141,0.000457925,0.000457925,0.000457925
7,49.998,1.67087,3.1652,1.64741,0.0072,0.83766,0.12969,0.06995,1.85957,3.65606,1.66141,0.000483297,0.000483297,0.000483297
8,56.8707,1.6083,3.11534,1.6286,0.00762,0.90909,0.15558,0.06696,1.92176,3.64514,1.71484,0.000493265,0.000493265,0.000493265
9,63.7286,1.71961,2.94651,1.62979,0.00663,0.76623,0.13118,0.06627,1.88746,3.68679,1.67329,0.000487831,0.000487831,0.000487831
10,70.6691,1.55892,2.9419,1.6403,0.00663,0.76623,0.13118,0.06627,1.88746,3.68679,1.67329,0.000466993,0.000466993,0.000466993
11,77.5249,1.54549,2.82998,1.61966,0.83143,0.09091,0.13661,0.04941,1.69426,3.52814,1.58831,0.000430753,0.000430753,0.000430753
12,84.39,1.66546,2.84314,1.71173,0.83143,0.09091,0.13661,0.04941,1.69426,3.52814,1.58831,0.000379109,0.000379109,0.000379109
13,91.3164,1.52936,2.77558,1.61959,1,0.08956,0.16419,0.07473,1.57541,3.37932,1.5485,0.000312062,0.000312062,0.000312062
14,98.1985,1.61774,2.86153,1.62633,1,0.08956,0.16419,0.07473,1.57541,3.37932,1.5485,0.000229613,0.000229613,0.000229613
15,105.46,1.61476,2.74589,1.66919,0.83539,0.13636,0.21902,0.10328,1.57721,3.25637,1.55594,0.000126692,0.000126692,0.000126692
