epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.71994,1.50421,3.80567,1.51664,0.01166,0.33333,0.12205,0.02292,1.2493,3.89545,1.47174,0.0001,0.0001,0.0001
2,13.067,1.16301,3.64135,1.27462,0.01793,0.41667,0.14906,0.05239,1.08946,3.6821,1.24973,0.000198475,0.000198475,0.000198475
3,19.0173,1.07999,3.33204,1.22467,0.02475,0.61667,0.28952,0.1928,0.90505,3.50915,1.02389,0.0002821,0.0002821,0.0002821
4,25.0083,1.01304,3.21638,1.14829,0.0299,0.7,0.41776,0.25704,0.95689,3.41541,1.02418,0.000350875,0.000350875,0.000350875
5,31.0536,1.13572,3.10732,1.15813,0.0341,0.76667,0.54284,0.31891,0.99991,3.36804,1.03332,0.0004048,0.0004048,0.0004048
6,37.2357,0.98009,2.77452,1.12328,0.03689,0.81667,0.68582,0.44982,0.96321,3.29221,1.00915,0.000443875,0.000443875,0.000443875
7,45.6866,0.8902,2.55864,1.04605,0.03801,0.81667,0.73703,0.49975,0.95701,3.16168,1.02261,0.0004681,0.0004681,0.0004681
8,54.1027,0.96309,2.50565,1.08508,0.04177,0.85,0.75878,0.50819,1.02489,2.96074,1.06973,0.000477475,0.000477475,0.000477475
9,62.39,0.9691,2.22796,1.08131,0.04177,0.85,0.75878,0.50819,1.02489,2.96074,1.06973,0.000472,0.000472,0.000472
10,70.6322,0.88413,2.14683,1.08409,1,0.37125,0.82921,0.58133,1.05936,2.6614,1.11216,0.000451675,0.000451675,0.000451675
11,78.9565,0.888,2.01543,1.06173,1,0.37125,0.82921,0.58133,1.05936,2.6614,1.11216,0.0004165,0.0004165,0.0004165
12,87.5043,0.93517,1.90236,1.11819,1,0.65979,0.89352,0.63256,1.05982,2.25817,1.13491,0.0003425,0.0003425,0.0003425
13,95.7573,0.90091,1.83151,1.07157,1,0.65979,0.89352,0.63256,1.05982,2.25817,1.13491,0.00026,0.00026,0.00026
14,104.054,0.92018,1.85994,1.08944,0.9712,0.79504,0.91479,0.64536,1.051,1.95095,1.15195,0.0001775,0.0001775,0.0001775
15,112.357,0.80379,1.7703,1.02387,0.96513,0.8209,0.91845,0.64179,1.06874,1.77116,1.17855,9.5e-05,9.5e-05,9.5e-05
