epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.29164,1.99155,4.69908,2.11513,0.01031,1,0.4975,0.199,2.54986,5.35225,2.72758,1.429e-05,1.429e-05,1.429e-05
2,2.48726,2.47678,11.8978,2.55875,0.01,1,0.33167,0.199,2.37114,5.13751,2.62187,4.00406e-05,4.00406e-05,4.00406e-05
3,3.67954,1.22045,3.95866,1.47644,0.01064,1,0.995,0.26533,1.95331,5.21836,2.57072,6.20186e-05,6.20186e-05,6.20186e-05
4,4.90344,1.68062,6.26977,2.07076,0.00962,1,0.33167,0.13267,2.22281,5.0369,2.50166,8.02241e-05,8.02241e-05,8.02241e-05
5,6.09689,0.87267,11.8169,1.06657,0.00909,1,0.33167,0.11608,2.82323,4.16291,2.4917,9.4657e-05,9.4657e-05,9.4657e-05
6,7.35314,1.09203,6.00202,1.66142,0.00909,1,0.33167,0.11608,2.82323,4.16291,2.4917,0.000105317,0.000105317,0.000105317
7,8.61192,1.24791,6.49611,1.4291,0.00909,1,0.4975,0.06219,2.64974,4.16422,2.50378,0.000112205,0.000112205,0.000112205
8,9.86631,1.16739,6.00451,1.55138,0.00917,1,0.4975,0.13267,2.2501,4.24051,2.34919,0.00011532,0.00011532,0.00011532
9,11.1344,2.10766,6.934,1.84997,0.00917,1,0.4975,0.13267,2.2501,4.24051,2.34919,0.000114663,0.000114663,0.000114663
10,12.3976,0.78028,4.90011,1.21585,0.00893,1,0.4975,0.26533,2.14829,4.05729,2.29409,0.000110233,0.000110233,0.000110233
11,13.6631,0.86875,4.72348,1.29611,0.00893,1,0.4975,0.26533,2.14829,4.05729,2.29409,0.000102031,0.000102031,0.000102031
12,14.9033,1.13749,5.30457,1.30715,0.00971,1,0.4975,0.33167,1.92356,4.01543,2.23217,9.00556e-05,9.00556e-05,9.00556e-05
13,16.1614,0.76667,5.48886,1.32173,0.00971,1,0.4975,0.33167,1.92356,4.01543,2.23217,7.4308e-05,7.4308e-05,7.4308e-05
14,17.5156,1.1899,7.7758,1.27519,0.00971,1,0.4975,0.33167,1.92356,4.01543,2.23217,5.47879e-05,5.47879e-05,5.47879e-05
15,18.8382,0.46689,11.0275,0.67891,0.01064,1,0.4975,0.31508,1.88232,4.18381,2.28152,3.14952e-05,3.14952e-05,3.14952e-05
