epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.05359,1.59341,3.28537,1.6942,0.0081,1,0.13417,0.01601,2.59383,4.68971,2.76907,3.334e-05,3.334e-05,3.334e-05
2,5.72882,2.03419,3.56707,2.22044,0.00873,1,0.2576,0.0371,2.45352,4.57909,2.75442,7.78489e-05,7.78489e-05,7.78489e-05
3,8.27601,2.13993,3.70422,2.05008,0.00461,0.5,0.24868,0.08297,2.45978,4.53386,2.62194,0.000115756,0.000115756,0.000115756
4,10.8291,1.62295,3.27763,1.78378,0.00467,0.5,0.05619,0.0281,2.44884,4.3882,2.7539,0.000147063,0.000147063,0.000147063
5,13.3954,1.67202,3.33215,1.74556,0.00457,0.5,0.12491,0.07495,2.19943,4.70015,2.60267,0.000171768,0.000171768,0.000171768
6,16.2239,1.94888,3.68006,1.96425,0.0042,0.5,0.04232,0.01439,2.39807,4.46779,2.68023,0.000189871,0.000189871,0.000189871
7,18.8195,1.67521,3.762,1.65967,0.00816,1,0.07437,0.03211,2.33245,4.32742,2.63585,0.000201374,0.000201374,0.000201374
8,21.4667,1.44507,3.59174,1.68672,0.00791,1,0.17908,0.03293,2.33005,4.51665,2.56958,0.000206275,0.000206275,0.000206275
9,24.2766,1.58746,3.39907,1.53456,0.00791,1,0.17908,0.03293,2.33005,4.51665,2.56958,0.000204574,0.000204574,0.000204574
10,26.835,1.36461,3.55629,1.5408,0.00806,1,0.05086,0.02116,2.33182,4.30511,2.4711,0.000196273,0.000196273,0.000196273
11,29.3929,1.76303,3.78702,1.92284,0.00806,1,0.05086,0.02116,2.33182,4.30511,2.4711,0.00018137,0.00018137,0.00018137
12,31.9322,1.42885,3.28861,1.41536,0.00787,1,0.04081,0.01799,2.3035,4.31172,2.3975,0.000159865,0.000159865,0.000159865
13,34.4754,1.35058,3.25919,1.50229,0.00787,1,0.04081,0.01799,2.3035,4.31172,2.3975,0.00013176,0.00013176,0.00013176
14,37.027,1.35481,3.47941,1.62644,0.00763,1,0.14336,0.02463,2.26516,4.25382,2.43384,9.70527e-05,9.70527e-05,9.70527e-05
15,39.5519,1.18701,3.47793,1.51387,0.00763,1,0.14336,0.02463,2.26516,4.25382,2.43384,5.57445e-05,5.57445e-05,5.57445e-05
