epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.36724,2.08776,4.58924,2.22023,0.00617,1,0.01508,0.00823,2.46631,5.10907,2.72171,1.667e-05,1.667e-05,1.667e-05
2,2.69695,2.68535,11.5126,2.78931,0.00549,1,0.01746,0.00835,1.92606,4.72865,2.54087,4.67093e-05,4.67093e-05,4.67093e-05
3,4.03032,1.59128,4.12558,1.79657,0.00529,1,0.02117,0.00847,1.80939,4.61386,2.46092,7.23478e-05,7.23478e-05,7.23478e-05
4,5.28068,1.91653,5.54136,2.2921,0.00529,1,0.02261,0.01089,1.78195,4.25872,2.42156,9.35854e-05,9.35854e-05,9.35854e-05
5,6.48138,0.99337,11.2194,1.13539,0.00505,1,0.02261,0.00984,1.82404,3.78069,2.36829,0.000110422,0.000110422,0.000110422
6,7.71104,0.82721,11.2172,1.20611,0.00505,1,0.02261,0.00984,1.82404,3.78069,2.36829,0.000122858,0.000122858,0.000122858
7,9.00347,1.17016,6.75717,1.52285,0.00513,1,0.995,0.10131,2.18574,3.8378,2.37367,0.000130893,0.000130893,0.000130893
8,10.267,1.02687,6.41329,1.68962,0.00524,1,0.995,0.12806,2.33836,4.12365,2.38814,0.000134527,0.000134527,0.000134527
9,11.5483,1.75824,6.75027,1.99702,0.00524,1,0.995,0.12806,2.33836,4.12365,2.38814,0.00013376,0.00013376,0.00013376
10,12.7906,1.04107,6.01073,1.43906,0.00532,1,0.24875,0.07886,2.36826,3.96241,2.46521,0.000128592,0.000128592,0.000128592
11,13.9294,0.74987,6.1774,1.34738,0.00532,1,0.24875,0.07886,2.36826,3.96241,2.46521,0.000119024,0.000119024,0.000119024
12,15.1494,0.88216,11.3441,1.02194,0.00541,1,0.16583,0.05398,2.50701,4.22326,2.5158,0.000105054,0.000105054,0.000105054
13,16.3318,0.84721,5.57285,1.34854,0.00541,1,0.16583,0.05398,2.50701,4.22326,2.5158,8.6684e-05,8.6684e-05,8.6684e-05
14,17.5414,1.14788,6.42206,1.42833,0.00541,1,0.16583,0.05398,2.50701,4.22326,2.5158,6.39128e-05,6.39128e-05,6.39128e-05
15,18.8168,0.55512,11.3687,0.79941,0.00538,1,0.199,0.04708,2.63841,4.21317,2.56128,3.67407e-05,3.67407e-05,3.67407e-05
