epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.74838,2.04301,3.53468,2.11922,0.00568,0.72727,0.06377,0.02909,1.98364,3.90582,1.92676,0.00011669,0.00011669,0.00011669
2,15.3882,1.87542,3.6388,1.94784,0.00537,0.62987,0.11361,0.04314,1.90268,3.83103,1.82002,0.000233547,0.000233547,0.000233547
3,22.7869,1.9269,3.23763,1.85754,0.00491,0.55844,0.06393,0.03165,1.92055,3.77567,1.81895,0.0003328,0.0003328,0.0003328
4,30.1901,1.77726,3.17855,1.72249,0.00734,0.83766,0.0886,0.03801,1.99776,3.78438,1.93275,0.00041445,0.00041445,0.00041445
5,37.6076,1.67022,3.08094,1.60329,0.00771,0.90909,0.09846,0.03599,2.11218,3.73626,1.94054,0.000478496,0.000478496,0.000478496
6,44.9187,1.69921,3.14072,1.68749,0.00715,0.83766,0.17427,0.06702,2.00576,3.68825,1.80606,0.000524938,0.000524938,0.000524938
7,52.2643,1.70787,3.08756,1.6242,0.00619,0.74675,0.17232,0.07437,1.99448,3.57312,1.75185,0.000553777,0.000553777,0.000553777
8,59.6424,1.63043,3.31354,1.74675,0.00572,0.67532,0.21109,0.0607,2.05346,3.50891,1.81474,0.000565013,0.000565013,0.000565013
9,66.9813,1.60789,2.8622,1.61063,0.7076,0.18182,0.15904,0.04291,2.07707,3.44212,1.78282,0.000558645,0.000558645,0.000558645
10,74.2901,1.48855,2.99043,1.58769,0.7076,0.18182,0.15904,0.04291,2.07707,3.44212,1.78282,0.000534674,0.000534674,0.000534674
11,81.7937,1.64064,2.95751,1.67372,0.6045,0.13239,0.1476,0.05025,1.99426,3.39776,1.83736,0.000493099,0.000493099,0.000493099
12,89.0942,1.58854,2.74627,1.67112,0.6045,0.13239,0.1476,0.05025,1.99426,3.39776,1.83736,0.00043392,0.00043392,0.00043392
13,96.5062,1.5146,2.81326,1.59095,0.59671,0.18182,0.21604,0.08018,1.92317,3.31583,1.82131,0.000346736,0.000346736,0.000346736
14,103.795,1.56293,2.74007,1.58161,0.59671,0.18182,0.21604,0.08018,1.92317,3.31583,1.82131,0.000236714,0.000236714,0.000236714
15,111.074,1.44261,2.58829,1.51039,0.60048,0.18182,0.21868,0.06198,1.91205,3.28706,1.80126,0.000126692,0.000126692,0.000126692
