epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.742,2.28919,4.51601,2.63167,0.00499,0.4,0.03052,0.00655,2.94458,4.41263,2.68083,3.334e-05,3.334e-05,3.334e-05
2,7.39766,2.07846,4.83616,2.09122,0.00276,0.2,0.03362,0.01039,2.87995,4.57285,2.60285,7.78489e-05,7.78489e-05,7.78489e-05
3,11.9527,1.9032,3.53051,1.91006,0.00568,0.4,0.0785,0.02769,2.78334,4.58395,2.60181,0.000115756,0.000115756,0.000115756
4,18.4545,1.87626,3.74763,1.7562,0.00587,0.4,0.04046,0.01276,2.75953,4.43374,2.59477,0.000147063,0.000147063,0.000147063
5,26.6755,1.6494,3.65115,1.71168,0.00299,0.2,0.01746,0.00276,2.67983,4.40244,2.4494,0.000171768,0.000171768,0.000171768
6,34.3389,1.77044,5.55125,1.93415,0.00877,0.6,0.07863,0.0087,2.60922,4.29143,2.35743,0.000189871,0.000189871,0.000189871
7,41.8571,1.99802,6.28326,2.02523,0.00862,0.6,0.05528,0.01007,2.48669,4.24483,2.25481,0.000201374,0.000201374,0.000201374
8,48.8375,1.09705,14.2971,1.40394,0.00833,0.6,0.07395,0.00883,2.39589,4.2196,2.0804,0.000206275,0.000206275,0.000206275
9,54.7468,2.00193,9.79865,2.39796,0.00833,0.6,0.07395,0.00883,2.39589,4.2196,2.0804,0.000204574,0.000204574,0.000204574
10,62.2247,1.07901,13.7524,1.23971,0.00838,0.6,0.35227,0.0573,2.36035,4.14615,2.12389,0.000196273,0.000196273,0.000196273
11,70.5377,0.97686,13.646,1.10817,0.00838,0.6,0.35227,0.0573,2.36035,4.14615,2.12389,0.00018137,0.00018137,0.00018137
12,76.1419,1.45251,5.73738,1.59156,0.008,0.6,0.41202,0.06295,2.35883,4.09116,2.12988,0.000159865,0.000159865,0.000159865
13,81.6439,1.77413,6.86703,2.12066,0.008,0.6,0.41202,0.06295,2.35883,4.09116,2.12988,0.00013176,0.00013176,0.00013176
14,89.435,1.48815,5.74889,1.52283,0.00773,0.6,0.40554,0.06272,2.30175,4.09116,2.11817,9.70527e-05,9.70527e-05,9.70527e-05
15,98.5287,1.46044,5.43572,1.97416,0.00773,0.6,0.40554,0.06272,2.30175,4.09116,2.11817,5.57445e-05,5.57445e-05,5.57445e-05
