epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.61897,1.62022,3.51102,1.96762,0.00922,1,0.04146,0.00921,2.71758,4.06452,3.13271,2.858e-05,2.858e-05,2.858e-05
2,5.14228,1.90311,3.36118,2.11163,0.00866,1,0.0266,0.00762,2.65971,4.02299,3.11099,6.67343e-05,6.67343e-05,6.67343e-05
3,7.3144,2.21475,4.43242,2.54321,0.00877,1,0.02457,0.00905,2.38386,3.9696,2.89082,9.92298e-05,9.92298e-05,9.92298e-05
4,9.55023,1.57843,3.44677,1.81352,0.00957,1,0.04738,0.00923,2.55601,3.81775,2.91698,0.000126066,0.000126066,0.000126066
5,11.7204,1.24851,3.37018,1.6113,0.00971,1,0.05378,0.01844,2.35059,3.83178,2.78152,0.000147244,0.000147244,0.000147244
6,14.0714,1.61102,4.05127,2.11165,0.01026,1,0.13321,0.05271,2.20888,3.88047,2.59421,0.000162763,0.000162763,0.000162763
7,16.3826,1.59772,4.48082,1.95158,0.01031,1,0.33841,0.1719,1.96692,3.80031,2.39297,0.000172623,0.000172623,0.000172623
8,18.5014,1.48794,3.94483,1.78156,0.01081,1,0.745,0.3565,1.68058,3.85535,2.17792,0.000176824,0.000176824,0.000176824
9,20.6289,1.48692,4.10739,1.85993,0.01081,1,0.745,0.3565,1.68058,3.85535,2.17792,0.000175367,0.000175367,0.000175367
10,22.8275,1.20721,4.12936,1.6176,0.01064,1,0.995,0.40669,1.52996,3.88581,1.93557,0.00016825,0.00016825,0.00016825
11,25.1489,1.41092,3.93258,1.64223,0.01064,1,0.995,0.40669,1.52996,3.88581,1.93557,0.000155475,0.000155475,0.000155475
12,27.258,1.6681,4.75902,1.84734,0.01156,1,0.995,0.45543,1.46205,3.60153,1.76943,0.000137041,0.000137041,0.000137041
13,29.4174,1.28272,3.51669,1.48886,0.01156,1,0.995,0.45543,1.46205,3.60153,1.76943,0.000112948,0.000112948,0.000112948
14,31.5024,1.36897,3.82457,1.6257,0.01198,1,0.995,0.46263,1.50464,3.56841,1.77357,8.31964e-05,8.31964e-05,8.31964e-05
15,33.5989,1.09427,3.91325,1.40873,0.01198,1,0.995,0.46263,1.50464,3.56841,1.77357,4.77858e-05,4.77858e-05,4.77858e-05
