epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.47837,1.99466,4.24109,2.36102,0.00635,0.66667,0.01857,0.00412,2.64598,4.63336,3.02204,2.858e-05,2.858e-05,2.858e-05
2,4.98492,2.0215,3.39627,2.16762,0.00683,0.66667,0.0115,0.00445,2.50057,4.89314,2.90294,6.67343e-05,6.67343e-05,6.67343e-05
3,7.0349,2.08012,3.47991,2.0575,0.00775,0.66667,0.01952,0.00529,2.51248,4.82362,2.75121,9.92298e-05,9.92298e-05,9.92298e-05
4,8.97392,2.40021,3.93087,2.65173,0.00917,0.66667,0.01763,0.00569,2.51179,4.63388,2.71584,0.000126066,0.000126066,0.000126066
5,10.8227,2.12972,3.69889,2.44282,0.00943,0.66667,0.02681,0.01029,2.57047,4.54287,2.68085,0.000147244,0.000147244,0.000147244
6,12.7265,2.01452,4.77817,2.34835,0.01266,0.66667,0.03793,0.01321,2.31628,4.32159,2.56689,0.000162763,0.000162763,0.000162763
7,14.6067,1.95086,4.44963,2.23496,0.01299,0.66667,0.05904,0.02411,2.44496,4.42077,2.64301,0.000172623,0.000172623,0.000172623
8,16.5681,1.95621,4.26343,2.13105,0.01212,0.66667,0.05788,0.01818,2.43318,4.91239,2.68368,0.000176824,0.000176824,0.000176824
9,18.4664,1.77537,4.28499,2.37017,0.01212,0.66667,0.05788,0.01818,2.43318,4.91239,2.68368,0.000175367,0.000175367,0.000175367
10,20.3572,2.05969,4.94091,2.28914,0.01325,0.66667,0.04368,0.01819,2.44478,4.47281,2.52331,0.00016825,0.00016825,0.00016825
11,22.345,1.55626,3.98877,2.04921,0.01325,0.66667,0.04368,0.01819,2.44478,4.47281,2.52331,0.000155475,0.000155475,0.000155475
12,24.2358,1.60495,3.91862,2.16546,0.01282,0.66667,0.06918,0.02978,2.31255,4.34168,2.45124,0.000137041,0.000137041,0.000137041
13,26.2257,1.89849,4.10755,2.453,0.01282,0.66667,0.06918,0.02978,2.31255,4.34168,2.45124,0.000112948,0.000112948,0.000112948
14,28.3522,1.49067,3.86451,1.89295,0.01504,0.66667,0.10461,0.04405,2.25534,4.33442,2.43643,8.31964e-05,8.31964e-05,8.31964e-05
15,30.3882,1.37436,4.04175,1.93426,0.01504,0.66667,0.10461,0.04405,2.25534,4.33442,2.43643,4.77858e-05,4.77858e-05,4.77858e-05
