epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4428,1.54885,3.15149,1.27486,0.03667,0.83019,0.32054,0.23441,0.62134,2.78149,0.8652,8e-05,8e-05,8e-05
2,12.5578,1.3388,3.03635,1.24781,0.0375,0.84906,0.39822,0.30611,0.73625,2.77703,0.87769,0.00016812,0.00016812,0.00016812
3,18.253,1.25029,2.70437,1.10443,0.03833,0.86792,0.4174,0.30452,0.81722,2.77149,0.88602,0.00024304,0.00024304,0.00024304
4,24.2242,1.31063,2.66036,1.17013,0.03917,0.88679,0.49333,0.34301,0.81325,2.7412,0.90137,0.00030476,0.00030476,0.00030476
5,30.3343,1.30442,2.50765,1.18637,0.03917,0.88679,0.53639,0.37934,0.84372,2.73187,0.92563,0.00035328,0.00035328,0.00035328
6,35.8105,1.43895,2.31398,1.28688,0.03917,0.88679,0.56972,0.38916,0.82444,2.72098,0.93103,0.0003886,0.0003886,0.0003886
7,41.3132,1.22159,2.17094,1.16798,0.03917,0.88679,0.5993,0.35352,0.83232,2.68114,0.92461,0.00041072,0.00041072,0.00041072
8,46.6935,1.19803,2.13078,1.12319,0.03917,0.88679,0.5993,0.35352,0.83232,2.68114,0.92461,0.00041964,0.00041964,0.00041964
9,52.451,1.17247,2.21649,1.06578,0.04,0.90566,0.59593,0.32106,0.91106,2.67293,0.95612,0.00041536,0.00041536,0.00041536
10,58.2781,1.09919,1.96408,1.06208,0.04083,0.92453,0.6162,0.34213,0.9429,2.61162,0.96065,0.00039788,0.00039788,0.00039788
11,63.5212,1.24672,2.16639,1.09504,0.04083,0.92453,0.6162,0.34213,0.9429,2.61162,0.96065,0.0003672,0.0003672,0.0003672
12,68.4871,1.1105,1.94123,1.06323,0.04167,0.9434,0.62839,0.3919,0.927,2.46741,0.95207,0.00032332,0.00032332,0.00032332
13,73.2634,1.23052,1.79921,1.07892,0.04167,0.9434,0.62839,0.3919,0.927,2.46741,0.95207,0.00026624,0.00026624,0.00026624
14,78.0047,1.1189,1.88492,1.05307,0.04167,0.9434,0.62839,0.3919,0.927,2.46741,0.95207,0.00019596,0.00019596,0.00019596
15,82.6269,1.15571,1.83564,1.10964,0.85417,0.44224,0.66069,0.45367,0.93281,2.33765,0.95275,0.00011248,0.00011248,0.00011248
