epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40537,0.9989,3.74829,1.00949,0.05479,0.4,0.27827,0.2375,0.63586,3.45362,0.87942,5e-05,5e-05,5e-05
2,8.36786,0.89853,3.60867,0.94533,0.0524,0.48,0.33295,0.28715,0.67217,3.44971,0.87476,0.000105075,0.000105075,0.000105075
3,12.4056,0.99653,3.50053,0.94722,0.05459,0.5,0.36149,0.3071,0.71137,3.43293,0.87518,0.0001519,0.0001519,0.0001519
4,16.4269,1.01415,3.50245,0.95614,0.05765,0.52,0.44353,0.38022,0.74118,3.40528,0.87223,0.000190475,0.000190475,0.000190475
5,20.2673,0.96696,3.27274,0.93339,0.05973,0.54,0.45711,0.39166,0.7394,3.39119,0.88604,0.0002208,0.0002208,0.0002208
6,23.7965,0.93316,3.04154,0.88863,0.06074,0.56,0.48168,0.3873,0.74246,3.37146,0.88877,0.000242875,0.000242875,0.000242875
7,27.5823,1.0072,2.9069,0.90922,0.0587,0.54,0.47609,0.34971,0.81025,3.35141,0.90437,0.0002567,0.0002567,0.0002567
8,31.0481,0.93665,2.83943,0.89958,0.0587,0.54,0.47609,0.34971,0.81025,3.35141,0.90437,0.000262275,0.000262275,0.000262275
9,34.5019,0.9322,2.67976,0.89545,0.06195,0.56,0.47867,0.34136,0.84024,3.31531,0.91243,0.0002596,0.0002596,0.0002596
10,37.9554,0.94243,2.56238,0.87925,0.06374,0.58,0.49399,0.37261,0.85404,3.24975,0.91608,0.000248675,0.000248675,0.000248675
11,41.3459,0.94578,2.47978,0.87604,0.06374,0.58,0.49399,0.37261,0.85404,3.24975,0.91608,0.0002295,0.0002295,0.0002295
12,44.7859,0.97934,2.48751,0.92412,0.06697,0.58,0.50768,0.4135,0.84896,3.15475,0.92062,0.000202075,0.000202075,0.000202075
13,48.2965,0.88463,2.35994,0.89135,0.06697,0.58,0.50768,0.4135,0.84896,3.15475,0.92062,0.0001664,0.0001664,0.0001664
14,51.7406,0.90239,2.41357,0.88136,0.06697,0.58,0.50768,0.4135,0.84896,3.15475,0.92062,0.000122475,0.000122475,0.000122475
15,55.2568,0.96074,2.25371,0.90462,0.07601,0.64,0.54923,0.43493,0.85859,3.07097,0.93942,7.03e-05,7.03e-05,7.03e-05
