epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50607,1.53289,3.88655,1.79654,0.00893,1,0.02803,0.00793,2.86912,4.19154,3.20436,1.429e-05,1.429e-05,1.429e-05
2,3.05175,1.87375,3.81313,2.2394,0.00905,1,0.02689,0.00616,2.78524,4.06838,3.18093,4.00406e-05,4.00406e-05,4.00406e-05
3,4.5544,1.76565,3.74959,1.97595,0.00851,1,0.05528,0.01313,2.62277,4.0842,3.06199,6.20186e-05,6.20186e-05,6.20186e-05
4,6.00925,1.5694,3.66772,1.80016,0.00909,1,0.05528,0.01426,2.59012,4.21311,2.84486,8.02241e-05,8.02241e-05,8.02241e-05
5,7.47927,1.40034,3.58706,1.61826,0.00889,1,0.03317,0.013,2.53309,4.28569,2.78733,9.4657e-05,9.4657e-05,9.4657e-05
6,8.8047,1.91842,4.72758,2.01432,0.00889,1,0.03317,0.013,2.53309,4.28569,2.78733,0.000105317,0.000105317,0.000105317
7,10.1255,1.687,4.87862,1.85818,0.00866,1,0.03902,0.01352,2.5683,4.05249,2.64439,0.000112205,0.000112205,0.000112205
8,11.4565,1.19168,4.19589,1.75698,0.00837,1,0.06086,0.02063,2.55807,3.98762,2.63698,0.00011532,0.00011532,0.00011532
9,12.7846,1.52442,5.25167,1.85742,0.00837,1,0.06086,0.02063,2.55807,3.98762,2.63698,0.000114663,0.000114663,0.000114663
10,14.1264,1.32744,4.44002,1.73307,0.00851,1,0.06318,0.02259,2.405,3.88262,2.54178,0.000110233,0.000110233,0.000110233
11,15.4667,1.75699,4.37945,1.56907,0.00851,1,0.06318,0.02259,2.405,3.88262,2.54178,0.000102031,0.000102031,0.000102031
12,16.8028,1.58927,4.38956,1.84711,0.00873,1,0.08204,0.03277,2.11292,4.28714,2.39516,9.00556e-05,9.00556e-05,9.00556e-05
13,18.1898,0.95928,5.77273,1.33348,0.00873,1,0.08204,0.03277,2.11292,4.28714,2.39516,7.4308e-05,7.4308e-05,7.4308e-05
14,19.5196,1.33656,4.75835,1.39247,0.00873,1,0.08204,0.03277,2.11292,4.28714,2.39516,5.47879e-05,5.47879e-05,5.47879e-05
15,20.8568,1.15217,4.54212,1.63864,0.00873,1,0.11821,0.03991,2.2111,4.13948,2.29789,3.14952e-05,3.14952e-05,3.14952e-05
