epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.558111,3.98953,10.759,2.32579,0.01176,1,0.33167,0.2985,0.44448,3.69225,0.48105,0,0,0
2,1.15815,3.01072,5.82379,2.44882,0.01087,1,0.33167,0.2985,0.51065,3.69837,0.49817,9.34e-06,9.34e-06,9.34e-06
3,1.58889,3.87857,5.84217,2.51101,0.01087,1,0.33167,0.2985,0.51065,3.69837,0.49817,1.736e-05,1.736e-05,1.736e-05
4,1.93869,3.11118,5.22414,2.01575,0.0099,1,0.33167,0.2985,0.50335,3.69756,0.49196,2.406e-05,2.406e-05,2.406e-05
5,2.25025,3.9311,6.25841,3.01564,0.0099,1,0.33167,0.2985,0.50335,3.69756,0.49196,2.944e-05,2.944e-05,2.944e-05
6,2.56182,4.6639,7.19603,4.06704,0.0099,1,0.33167,0.2985,0.50335,3.69756,0.49196,3.35e-05,3.35e-05,3.35e-05
7,2.90695,3.36927,11.2058,3.18763,0.00935,1,0.24875,0.22387,0.4104,3.68408,0.46322,3.624e-05,3.624e-05,3.624e-05
8,3.21166,4.75272,9.9035,4.69239,0.00935,1,0.24875,0.22387,0.4104,3.68408,0.46322,3.766e-05,3.766e-05,3.766e-05
9,3.52071,3.53432,10.7141,2.7291,0.00935,1,0.24875,0.22387,0.4104,3.68408,0.46322,3.776e-05,3.776e-05,3.776e-05
10,3.82451,3.42634,7.71731,2.2727,0.00935,1,0.24875,0.22387,0.4104,3.68408,0.46322,3.654e-05,3.654e-05,3.654e-05
11,4.15163,3.25293,12.1401,2.47472,0.01,1,0.24875,0.22387,0.33361,3.67718,0.44258,3.4e-05,3.4e-05,3.4e-05
12,4.45527,3.78755,6.72448,2.9688,0.01,1,0.24875,0.22387,0.33361,3.67718,0.44258,3.014e-05,3.014e-05,3.014e-05
13,4.75923,3.74335,9.05257,3.05148,0.01,1,0.24875,0.22387,0.33361,3.67718,0.44258,2.496e-05,2.496e-05,2.496e-05
14,5.06467,3.54604,8.29915,2.87751,0.01,1,0.24875,0.22387,0.33361,3.67718,0.44258,1.846e-05,1.846e-05,1.846e-05
15,5.36757,3.37297,12.3497,2.61648,0.01,1,0.24875,0.22387,0.33361,3.67718,0.44258,1.064e-05,1.064e-05,1.064e-05
