epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9229,1.10854,3.63214,1.06268,0.02564,0.375,0.38301,0.34443,0.52574,3.55511,0.84111,2.5e-05,2.5e-05,2.5e-05
2,3.84162,1.03177,3.72613,0.94835,0.02439,0.5,0.38478,0.33251,0.583,3.56229,0.84523,5.8375e-05,5.8375e-05,5.8375e-05
3,5.77718,1.01462,3.54661,1.01077,0.02116,0.5,0.38403,0.33165,0.61951,3.5715,0.84283,8.68e-05,8.68e-05,8.68e-05
4,7.73155,0.98705,3.57208,0.96563,0.02,0.5,0.39077,0.33574,0.66991,3.5509,0.85681,0.000110275,0.000110275,0.000110275
5,9.59967,0.97961,3.51189,0.92638,0.02,0.5,0.4201,0.36156,0.64782,3.53274,0.86658,0.0001288,0.0001288,0.0001288
6,11.4553,1.02683,3.45891,0.89852,0.02551,0.625,0.50433,0.43606,0.66417,3.51715,0.86598,0.000142375,0.000142375,0.000142375
7,13.2185,0.81966,3.19175,0.91018,0.03061,0.75,0.5464,0.44227,0.69312,3.49418,0.86928,0.000151,0.000151,0.000151
8,14.9899,0.72428,3.34601,0.82882,0.02618,0.625,0.62991,0.54929,0.7338,3.45338,0.85324,0.000154675,0.000154675,0.000154675
9,16.8688,0.98809,3.27014,0.92112,0.02618,0.625,0.62991,0.54929,0.7338,3.45338,0.85324,0.0001534,0.0001534,0.0001534
10,18.7895,1.20036,3.72324,1.03422,0.02604,0.625,0.62988,0.54926,0.73327,3.44999,0.85249,0.000147175,0.000147175,0.000147175
11,20.6204,1.00812,3.11393,0.89048,0.02604,0.625,0.62988,0.54926,0.73327,3.44999,0.85249,0.000136,0.000136,0.000136
12,22.458,1.04207,3.16344,0.90923,0.02632,0.625,0.62993,0.52694,0.72691,3.42484,0.8493,0.000119875,0.000119875,0.000119875
13,24.321,1.12203,3.18614,0.91241,0.02632,0.625,0.62993,0.52694,0.72691,3.42484,0.8493,9.88e-05,9.88e-05,9.88e-05
14,26.3115,0.81416,2.85108,0.84256,0.02688,0.625,0.63004,0.52704,0.6944,3.39222,0.84336,7.2775e-05,7.2775e-05,7.2775e-05
15,28.3859,1.04218,3.08944,0.87675,0.02688,0.625,0.63004,0.52704,0.6944,3.39222,0.84336,4.18e-05,4.18e-05,4.18e-05
