epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48665,2.28919,4.51601,2.63167,0.00499,0.4,0.03052,0.00655,2.94458,4.41263,2.68083,3.334e-05,3.334e-05,3.334e-05
2,7.00917,2.07846,4.83616,2.09122,0.00276,0.2,0.03362,0.01039,2.87995,4.57285,2.60285,7.78489e-05,7.78489e-05,7.78489e-05
3,10.3664,1.77616,3.73726,1.76535,0.00568,0.4,0.0785,0.02769,2.78334,4.58395,2.60181,0.000115756,0.000115756,0.000115756
4,13.507,2.19553,5.02179,1.93511,0.0059,0.4,0.04566,0.01079,2.70093,4.41723,2.50977,0.000147063,0.000147063,0.000147063
5,16.5824,1.86248,4.11791,2.01319,0.00585,0.4,0.0347,0.00587,2.61213,4.27925,2.40177,0.000171768,0.000171768,0.000171768
6,19.6296,1.73909,5.81159,2.13474,0.0059,0.4,0.01121,0.00411,2.30835,4.37444,2.22461,0.000189871,0.000189871,0.000189871
7,22.7315,1.37859,5.40181,1.78793,0.00904,0.6,0.05701,0.00851,2.31004,4.1359,2.17554,0.000201374,0.000201374,0.000201374
8,25.8065,1.00443,13.9127,1.25645,0.00885,0.6,0.02278,0.00598,2.16891,4.16387,1.95842,0.000206275,0.000206275,0.000206275
9,28.8069,1.72892,6.84906,1.74133,0.00885,0.6,0.02278,0.00598,2.16891,4.16387,1.95842,0.000204574,0.000204574,0.000204574
10,31.8062,0.96824,13.6506,1.25934,0.00888,0.6,0.11883,0.02148,2.10186,4.19621,1.9207,0.000196273,0.000196273,0.000196273
11,34.8627,0.80756,13.4889,1.15588,0.00888,0.6,0.11883,0.02148,2.10186,4.19621,1.9207,0.00018137,0.00018137,0.00018137
12,37.9756,1.31947,5.54007,1.73086,0.00888,0.6,0.20081,0.08079,2.08572,4.15589,1.94084,0.000159865,0.000159865,0.000159865
13,41.1634,1.23949,5.2568,1.49095,0.00888,0.6,0.20081,0.08079,2.08572,4.15589,1.94084,0.00013176,0.00013176,0.00013176
14,44.3382,1.30851,6.10549,1.51432,0.00852,0.6,0.26536,0.08699,2.17607,4.11684,1.97925,9.70527e-05,9.70527e-05,9.70527e-05
15,47.5376,1.14613,4.81998,1.50877,0.00852,0.6,0.26536,0.08699,2.17607,4.11684,1.97925,5.57445e-05,5.57445e-05,5.57445e-05
