epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.04945,2.00552,3.77748,2.12355,0.01,1,0.10375,0.03019,2.59292,4.09812,2.96217,2.858e-05,2.858e-05,2.858e-05
2,8.2042,1.62717,3.41586,1.87819,0.00935,1,0.12875,0.04437,2.46871,4.02748,2.94343,6.67343e-05,6.67343e-05,6.67343e-05
3,12.4752,1.64156,3.47387,1.80463,0.00893,1,0.14759,0.04831,2.43008,3.97819,2.76974,9.92298e-05,9.92298e-05,9.92298e-05
4,16.6266,2.02451,3.86243,2.25901,0.00847,1,0.20783,0.06514,2.32813,3.93567,2.56307,0.000126066,0.000126066,0.000126066
5,20.4405,1.83853,3.52895,2.09252,0.00932,1,0.21368,0.06772,2.12529,4.08832,2.37699,0.000147244,0.000147244,0.000147244
6,24.8466,1.62412,4.0756,2.36042,0.00984,1,0.21215,0.0867,2.10162,3.85387,2.34791,0.000162763,0.000162763,0.000162763
7,28.8001,1.65551,4.18319,2.03476,0.01014,1,0.16286,0.06716,1.96023,3.75402,2.26276,0.000172623,0.000172623,0.000172623
8,33.0149,1.78768,4.17551,1.98321,0.00997,1,0.29856,0.09349,1.96934,4.04464,2.26726,0.000176824,0.000176824,0.000176824
9,36.9868,1.81435,4.33974,2.53683,0.00997,1,0.29856,0.09349,1.96934,4.04464,2.26726,0.000175367,0.000175367,0.000175367
10,40.9367,1.68905,4.44718,1.9869,0.01115,1,0.33962,0.15371,1.83137,4.04335,2.24845,0.00016825,0.00016825,0.00016825
11,45.1446,1.46397,3.94844,1.9718,0.01115,1,0.33962,0.15371,1.83137,4.04335,2.24845,0.000155475,0.000155475,0.000155475
12,49.1605,1.54048,3.9099,1.99652,0.01103,1,0.33989,0.14242,1.79926,4.12255,2.22246,0.000137041,0.000137041,0.000137041
13,53.0174,1.57911,3.82063,2.01249,0.01103,1,0.33989,0.14242,1.79926,4.12255,2.22246,0.000112948,0.000112948,0.000112948
14,57.3339,1.57447,3.96644,1.86641,0.01079,1,0.28826,0.12307,1.74689,4.29275,2.25714,8.31964e-05,8.31964e-05,8.31964e-05
15,61.5339,1.7643,4.24822,2.08569,0.01079,1,0.28826,0.12307,1.74689,4.29275,2.25714,4.77858e-05,4.77858e-05,4.77858e-05
