epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.58998,1.20434,3.66292,1.42761,0.00942,0.30357,0.09911,0.0203,1.2647,3.91511,1.52509,7.5e-05,7.5e-05,7.5e-05
2,10.9268,1.17772,3.7085,1.33431,0.01379,0.35847,0.16452,0.06969,0.9663,3.80607,1.26404,0.000151775,0.000151775,0.000151775
3,16.0769,0.97643,3.50089,1.17063,0.01232,0.34061,0.2325,0.15142,0.89315,3.61922,1.07307,0.000217,0.000217,0.000217
4,21.0718,0.99155,3.39864,1.15349,0.01486,0.37765,0.26445,0.16646,0.85512,3.52909,1.01572,0.000270675,0.000270675,0.000270675
5,26.1097,0.896,3.2929,1.06002,0.02262,0.55886,0.30315,0.17194,0.84756,3.46152,0.98473,0.0003128,0.0003128,0.0003128
6,31.2878,0.86971,3.13457,1.0094,0.02727,0.63294,0.32553,0.17495,0.85269,3.45869,0.99411,0.000343375,0.000343375,0.000343375
7,36.3056,0.84729,2.91536,0.99859,0.02727,0.63294,0.32553,0.17495,0.85269,3.45869,0.99411,0.0003624,0.0003624,0.0003624
8,41.3635,0.8491,2.65846,1.0519,0.02835,0.63426,0.39048,0.23061,0.83996,3.42773,1.00635,0.000369875,0.000369875,0.000369875
9,47.1996,0.88532,2.62599,1.04695,0.02909,0.63426,0.47536,0.30239,0.89748,3.38259,1.03436,0.0003658,0.0003658,0.0003658
10,52.7774,0.84158,2.49353,1.01978,0.02909,0.63426,0.47536,0.30239,0.89748,3.38259,1.03436,0.000350175,0.000350175,0.000350175
11,58.3597,0.80356,2.45914,1.03223,0.03256,0.65344,0.50486,0.33829,0.88814,3.29573,1.05387,0.000323,0.000323,0.000323
12,63.6971,0.90192,2.28218,1.05259,0.03256,0.65344,0.50486,0.33829,0.88814,3.29573,1.05387,0.000284275,0.000284275,0.000284275
13,69.1528,0.86161,2.28046,1.0318,1,0.1927,0.64582,0.44205,0.94375,3.10449,1.10054,0.000234,0.000234,0.000234
14,74.655,0.79079,2.15389,1.02036,1,0.1927,0.64582,0.44205,0.94375,3.10449,1.10054,0.000172175,0.000172175,0.000172175
15,79.9834,0.82975,2.17365,1.06626,1,0.25607,0.78412,0.52093,1.00853,2.83316,1.14813,9.5e-05,9.5e-05,9.5e-05
